round,ticker,open_time,brti_60s,yes_est,signal,confidence,reason,result,outcome
35,KXBTC15M-SIM-035,2026-04-28T04:45:00+00:00,91666.0,43.6,HOLD,0.4,neutral_43.6,NO,HOLD
36,KXBTC15M-SIM-036,2026-04-28T05:00:00+00:00,90904.0,48.0,HOLD,0.4,neutral_48.0,NO,HOLD
37,KXBTC15M-SIM-037,2026-04-28T05:15:00+00:00,90436.0,37.0,HOLD,0.45,bearish_no_momentum_37.0,YES,HOLD
38,KXBTC15M-SIM-038,2026-04-28T05:30:00+00:00,90678.0,68.2,HOLD,0.316,low_conf_0.32,YES,HOLD
39,KXBTC15M-SIM-039,2026-04-28T05:45:00+00:00,90946.0,58.2,HOLD,0.151,low_conf_0.15,YES,HOLD
40,KXBTC15M-SIM-040,2026-04-28T06:00:00+00:00,91056.0,95.4,HOLD,0.45,bullish_no_momentum_95.4,YES,HOLD
41,KXBTC15M-SIM-041,2026-04-28T06:15:00+00:00,91395.0,68.5,HOLD,0.181,high_vol_18.1,NO,HOLD
42,KXBTC15M-SIM-042,2026-04-28T06:30:00+00:00,91048.0,60.5,HOLD,0.179,low_conf_0.18,YES,HOLD
43,KXBTC15M-SIM-043,2026-04-28T06:45:00+00:00,91641.0,16.1,BET_NO,0.622,bearish_16.1_m-1.00,NO,WIN
44,KXBTC15M-SIM-044,2026-04-28T07:00:00+00:00,91001.0,50.9,HOLD,0.4,neutral_50.9,YES,HOLD
45,KXBTC15M-SIM-045,2026-04-28T07:15:00+00:00,91068.0,63.2,HOLD,0.23,low_conf_0.23,YES,HOLD
46,KXBTC15M-SIM-046,2026-04-28T07:30:00+00:00,91188.0,41.4,HOLD,0.158,low_conf_0.16,NO,HOLD
47,KXBTC15M-SIM-047,2026-04-28T07:45:00+00:00,91111.0,65.5,HOLD,0.267,low_conf_0.27,YES,HOLD
48,KXBTC15M-SIM-048,2026-04-28T08:00:00+00:00,91167.0,51.4,HOLD,0.4,neutral_51.4,YES,HOLD
49,KXBTC15M-SIM-049,2026-04-28T08:15:00+00:00,91689.0,14.8,HOLD,0.255,high_vol_25.5,YES,HOLD
50,KXBTC15M-SIM-050,2026-04-28T08:30:00+00:00,91839.0,46.3,HOLD,0.4,neutral_46.3,NO,HOLD
51,KXBTC15M-SIM-051,2026-04-28T08:45:00+00:00,91592.0,41.5,HOLD,0.45,bearish_no_momentum_41.5,YES,HOLD
52,KXBTC15M-SIM-052,2026-04-28T09:00:00+00:00,91696.0,50.2,HOLD,0.4,neutral_50.2,YES,HOLD
53,KXBTC15M-SIM-053,2026-04-28T09:15:00+00:00,91996.0,46.0,HOLD,0.4,neutral_46.0,YES,HOLD
54,KXBTC15M-SIM-054,2026-04-28T09:30:00+00:00,92464.0,6.0,HOLD,0.45,bearish_no_momentum_6.0,NO,HOLD
55,KXBTC15M-SIM-055,2026-04-28T09:45:00+00:00,92429.0,41.0,HOLD,0.45,bearish_no_momentum_41.0,YES,HOLD
56,KXBTC15M-SIM-056,2026-04-28T10:00:00+00:00,92589.0,50.8,HOLD,0.4,neutral_50.8,NO,HOLD
57,KXBTC15M-SIM-057,2026-04-28T10:15:00+00:00,92532.0,69.8,HOLD,0.188,high_vol_18.8,NO,HOLD
58,KXBTC15M-SIM-058,2026-04-28T10:30:00+00:00,92331.0,44.8,HOLD,0.4,neutral_44.8,NO,HOLD
59,KXBTC15M-SIM-059,2026-04-28T10:45:00+00:00,92015.0,41.0,HOLD,0.16,low_conf_0.16,NO,HOLD
60,KXBTC15M-SIM-060,2026-04-28T11:00:00+00:00,92043.0,49.5,HOLD,0.181,high_vol_18.1,NO,HOLD
61,KXBTC15M-SIM-061,2026-04-28T11:15:00+00:00,91812.0,50.7,HOLD,0.4,neutral_50.7,NO,HOLD
62,KXBTC15M-SIM-062,2026-04-28T11:30:00+00:00,91528.0,42.9,HOLD,0.4,neutral_42.9,YES,HOLD
63,KXBTC15M-SIM-063,2026-04-28T11:45:00+00:00,91860.0,52.2,HOLD,0.4,neutral_52.2,NO,HOLD
64,KXBTC15M-SIM-064,2026-04-28T12:00:00+00:00,91844.0,67.4,HOLD,0.319,low_conf_0.32,YES,HOLD
65,KXBTC15M-SIM-065,2026-04-28T12:15:00+00:00,91869.0,20.8,HOLD,0.545,low_conf_0.55,NO,HOLD
66,KXBTC15M-SIM-066,2026-04-28T12:30:00+00:00,91785.0,55.0,HOLD,0.4,neutral_55.0,YES,HOLD
67,KXBTC15M-SIM-067,2026-04-28T12:45:00+00:00,91849.0,37.1,HOLD,0.227,low_conf_0.23,NO,HOLD
68,KXBTC15M-SIM-068,2026-04-28T13:00:00+00:00,91521.0,52.6,HOLD,0.4,neutral_52.6,NO,HOLD
69,KXBTC15M-SIM-069,2026-04-28T13:15:00+00:00,91167.0,43.8,HOLD,0.4,neutral_43.8,YES,HOLD
70,KXBTC15M-SIM-070,2026-04-28T13:30:00+00:00,91569.0,63.7,HOLD,0.226,low_conf_0.23,YES,HOLD
71,KXBTC15M-SIM-071,2026-04-28T13:45:00+00:00,91628.0,59.8,HOLD,0.176,low_conf_0.18,YES,HOLD
72,KXBTC15M-SIM-072,2026-04-28T14:00:00+00:00,91909.0,61.2,HOLD,0.186,low_conf_0.19,YES,HOLD
73,KXBTC15M-SIM-073,2026-04-28T14:15:00+00:00,92652.0,75.5,HOLD,0.45,bullish_no_momentum_75.5,NO,HOLD
74,KXBTC15M-SIM-074,2026-04-28T14:30:00+00:00,92233.0,20.1,HOLD,0.54,low_conf_0.54,NO,HOLD
75,KXBTC15M-SIM-075,2026-04-28T14:45:00+00:00,91796.0,44.9,HOLD,0.4,neutral_44.9,YES,HOLD
76,KXBTC15M-SIM-076,2026-04-28T15:00:00+00:00,91832.0,60.9,HOLD,0.191,low_conf_0.19,YES,HOLD
77,KXBTC15M-SIM-077,2026-04-28T15:15:00+00:00,92035.0,2.8,HOLD,0.241,high_vol_24.1,YES,HOLD
78,KXBTC15M-SIM-078,2026-04-28T15:30:00+00:00,92162.0,42.9,HOLD,0.4,neutral_42.9,YES,HOLD
79,KXBTC15M-SIM-079,2026-04-28T15:45:00+00:00,92184.0,36.6,HOLD,0.239,low_conf_0.24,NO,HOLD
80,KXBTC15M-SIM-080,2026-04-28T16:00:00+00:00,91730.0,27.9,HOLD,0.203,high_vol_20.3,YES,HOLD
81,KXBTC15M-SIM-081,2026-04-28T16:15:00+00:00,91809.0,52.4,HOLD,0.4,neutral_52.4,YES,HOLD
82,KXBTC15M-SIM-082,2026-04-28T16:30:00+00:00,91883.0,43.2,HOLD,0.4,neutral_43.2,YES,HOLD
83,KXBTC15M-SIM-083,2026-04-28T16:45:00+00:00,92047.0,56.2,HOLD,0.4,neutral_56.2,YES,HOLD
84,KXBTC15M-SIM-084,2026-04-28T17:00:00+00:00,92096.0,32.5,HOLD,0.297,low_conf_0.30,NO,HOLD
85,KXBTC15M-SIM-085,2026-04-28T17:15:00+00:00,92036.0,26.2,HOLD,0.427,low_conf_0.43,NO,HOLD
86,KXBTC15M-SIM-086,2026-04-28T17:30:00+00:00,91834.0,39.2,HOLD,0.191,low_conf_0.19,NO,HOLD
87,KXBTC15M-SIM-087,2026-04-28T17:45:00+00:00,91805.0,24.5,HOLD,0.423,low_conf_0.42,NO,HOLD
88,KXBTC15M-SIM-088,2026-04-28T18:00:00+00:00,91554.0,48.4,HOLD,0.4,neutral_48.4,NO,HOLD
89,KXBTC15M-SIM-089,2026-04-28T18:15:00+00:00,91485.0,67.0,HOLD,0.303,low_conf_0.30,YES,HOLD
90,KXBTC15M-SIM-090,2026-04-28T18:30:00+00:00,91783.0,28.9,HOLD,0.381,low_conf_0.38,NO,HOLD
91,KXBTC15M-SIM-091,2026-04-28T18:45:00+00:00,91163.0,49.1,HOLD,0.4,neutral_49.1,NO,HOLD
92,KXBTC15M-SIM-092,2026-04-28T19:00:00+00:00,90805.0,69.7,HOLD,0.45,bullish_no_momentum_69.7,NO,HOLD
93,KXBTC15M-SIM-093,2026-04-28T19:15:00+00:00,90697.0,44.5,HOLD,0.4,neutral_44.5,NO,HOLD
94,KXBTC15M-SIM-094,2026-04-28T19:30:00+00:00,90381.0,39.1,HOLD,0.192,low_conf_0.19,NO,HOLD
95,KXBTC15M-SIM-095,2026-04-28T19:45:00+00:00,90292.0,34.1,HOLD,0.45,bearish_no_momentum_34.1,YES,HOLD
96,KXBTC15M-SIM-096,2026-04-28T20:00:00+00:00,90672.0,46.0,HOLD,0.4,neutral_46.0,NO,HOLD
97,KXBTC15M-SIM-097,2026-04-28T20:15:00+00:00,90235.0,40.2,HOLD,0.45,bearish_no_momentum_40.2,YES,HOLD
98,KXBTC15M-SIM-098,2026-04-28T20:30:00+00:00,90309.0,76.4,HOLD,0.212,high_vol_21.2,NO,HOLD
99,KXBTC15M-SIM-099,2026-04-28T20:45:00+00:00,89892.0,63.7,HOLD,0.24,low_conf_0.24,YES,HOLD
100,KXBTC15M-SIM-100,2026-04-28T21:00:00+00:00,90006.0,87.3,BET_YES,0.686,bullish_87.3_m+0.36,YES,WIN
101,KXBTC15M-SIM-101,2026-04-28T21:15:00+00:00,90053.0,34.0,HOLD,0.185,high_vol_18.5,YES,HOLD
102,KXBTC15M-SIM-102,2026-04-28T21:30:00+00:00,90359.0,48.0,HOLD,0.4,neutral_48.0,NO,HOLD
103,KXBTC15M-SIM-103,2026-04-28T21:45:00+00:00,90190.0,68.0,HOLD,0.45,bullish_no_momentum_68.0,NO,HOLD
104,KXBTC15M-SIM-104,2026-04-28T22:00:00+00:00,89490.0,44.0,HOLD,0.4,neutral_44.0,YES,HOLD
105,KXBTC15M-SIM-105,2026-04-28T22:15:00+00:00,89576.0,55.2,HOLD,0.4,neutral_55.2,YES,HOLD
106,KXBTC15M-SIM-106,2026-04-28T22:30:00+00:00,89734.0,6.5,BET_NO,0.84,bearish_6.5_m-0.33,NO,WIN
107,KXBTC15M-SIM-107,2026-04-28T22:45:00+00:00,89711.0,69.0,HOLD,0.197,high_vol_19.7,NO,HOLD
108,KXBTC15M-SIM-108,2026-04-28T23:00:00+00:00,89422.0,35.1,HOLD,0.45,bearish_no_momentum_35.1,YES,HOLD
109,KXBTC15M-SIM-109,2026-04-28T23:15:00+00:00,89498.0,48.2,HOLD,0.4,neutral_48.2,NO,HOLD
110,KXBTC15M-SIM-110,2026-04-28T23:30:00+00:00,89455.0,43.2,HOLD,0.4,neutral_43.2,NO,HOLD
111,KXBTC15M-SIM-111,2026-04-28T23:45:00+00:00,89216.0,32.2,HOLD,0.31,low_conf_0.31,NO,HOLD
112,KXBTC15M-SIM-112,2026-04-29T00:00:00+00:00,88958.0,66.3,HOLD,0.183,high_vol_18.3,NO,HOLD
113,KXBTC15M-SIM-113,2026-04-29T00:15:00+00:00,88693.0,73.3,HOLD,0.393,low_conf_0.39,YES,HOLD
114,KXBTC15M-SIM-114,2026-04-29T00:30:00+00:00,88781.0,59.0,HOLD,0.45,bullish_no_momentum_59.0,NO,HOLD
115,KXBTC15M-SIM-115,2026-04-29T00:45:00+00:00,88635.0,13.8,HOLD,0.251,high_vol_25.1,YES,HOLD
116,KXBTC15M-SIM-116,2026-04-29T01:00:00+00:00,88643.0,36.8,HOLD,0.45,bearish_no_momentum_36.8,YES,HOLD
117,KXBTC15M-SIM-117,2026-04-29T01:15:00+00:00,88911.0,9.3,HOLD,0.22,high_vol_22.0,YES,HOLD
118,KXBTC15M-SIM-118,2026-04-29T01:30:00+00:00,89249.0,53.0,HOLD,0.4,neutral_53.0,YES,HOLD
119,KXBTC15M-SIM-119,2026-04-29T01:45:00+00:00,89461.0,30.6,HOLD,0.334,low_conf_0.33,NO,HOLD
120,KXBTC15M-SIM-120,2026-04-29T02:00:00+00:00,89371.0,65.0,HOLD,0.45,bullish_no_momentum_65.0,NO,HOLD
121,KXBTC15M-SIM-121,2026-04-29T02:15:00+00:00,89179.0,8.9,HOLD,0.198,high_vol_19.8,YES,HOLD
122,KXBTC15M-SIM-122,2026-04-29T02:30:00+00:00,89421.0,41.0,HOLD,0.163,low_conf_0.16,NO,HOLD
123,KXBTC15M-SIM-123,2026-04-29T02:45:00+00:00,89286.0,53.4,HOLD,0.4,neutral_53.4,YES,HOLD
124,KXBTC15M-SIM-124,2026-04-29T03:00:00+00:00,89345.0,85.5,BET_YES,0.66,bullish_85.5_m+0.79,YES,WIN
125,KXBTC15M-SIM-125,2026-04-29T03:15:00+00:00,89646.0,59.9,HOLD,0.173,low_conf_0.17,YES,HOLD
126,KXBTC15M-SIM-126,2026-04-29T03:30:00+00:00,89993.0,37.5,HOLD,0.228,low_conf_0.23,NO,HOLD
127,KXBTC15M-SIM-127,2026-04-29T03:45:00+00:00,89478.0,59.6,HOLD,0.167,low_conf_0.17,YES,HOLD
128,KXBTC15M-SIM-128,2026-04-29T04:00:00+00:00,90186.0,52.7,HOLD,0.4,neutral_52.7,NO,HOLD
129,KXBTC15M-SIM-129,2026-04-29T04:15:00+00:00,89912.0,38.8,HOLD,0.201,low_conf_0.20,NO,HOLD
130,KXBTC15M-SIM-130,2026-04-29T04:30:00+00:00,89412.0,56.4,HOLD,0.4,neutral_56.4,YES,HOLD
131,KXBTC15M-SIM-131,2026-04-29T04:45:00+00:00,89417.0,28.8,HOLD,0.364,low_conf_0.36,NO,HOLD
132,KXBTC15M-SIM-132,2026-04-29T05:00:00+00:00,89105.0,41.5,HOLD,0.45,bearish_no_momentum_41.5,YES,HOLD
133,KXBTC15M-SIM-133,2026-04-29T05:15:00+00:00,89322.0,56.8,HOLD,0.4,neutral_56.8,NO,HOLD
134,KXBTC15M-SIM-134,2026-04-29T05:30:00+00:00,88994.0,53.9,HOLD,0.4,neutral_53.9,YES,HOLD
135,KXBTC15M-SIM-135,2026-04-29T05:45:00+00:00,89189.0,52.5,HOLD,0.4,neutral_52.5,NO,HOLD
136,KXBTC15M-SIM-136,2026-04-29T06:00:00+00:00,88804.0,67.2,HOLD,0.186,high_vol_18.6,NO,HOLD
137,KXBTC15M-SIM-137,2026-04-29T06:15:00+00:00,88692.0,44.1,HOLD,0.4,neutral_44.1,NO,HOLD
138,KXBTC15M-SIM-138,2026-04-29T06:30:00+00:00,88618.0,52.5,HOLD,0.4,neutral_52.5,NO,HOLD
139,KXBTC15M-SIM-139,2026-04-29T06:45:00+00:00,88455.0,61.8,HOLD,0.45,bullish_no_momentum_61.8,NO,HOLD
140,KXBTC15M-SIM-140,2026-04-29T07:00:00+00:00,88348.0,55.0,HOLD,0.4,neutral_55.0,NO,HOLD
141,KXBTC15M-SIM-141,2026-04-29T07:15:00+00:00,88013.0,48.6,HOLD,0.4,neutral_48.6,YES,HOLD
142,KXBTC15M-SIM-142,2026-04-29T07:30:00+00:00,88086.0,36.5,HOLD,0.242,low_conf_0.24,NO,HOLD
143,KXBTC15M-SIM-143,2026-04-29T07:45:00+00:00,87511.0,62.5,HOLD,0.45,bullish_no_momentum_62.5,NO,HOLD
144,KXBTC15M-SIM-144,2026-04-29T08:00:00+00:00,87306.0,86.7,BET_YES,0.682,bullish_86.7_m+0.75,YES,WIN
145,KXBTC15M-SIM-145,2026-04-29T08:15:00+00:00,87912.0,62.5,HOLD,0.45,bullish_no_momentum_62.5,NO,HOLD
146,KXBTC15M-SIM-146,2026-04-29T08:30:00+00:00,87371.0,84.2,BET_YES,0.616,bullish_84.2_m+1.15,YES,WIN
147,KXBTC15M-SIM-147,2026-04-29T08:45:00+00:00,87537.0,66.3,HOLD,0.45,bullish_no_momentum_66.3,NO,HOLD
148,KXBTC15M-SIM-148,2026-04-29T09:00:00+00:00,87343.0,60.9,HOLD,0.187,low_conf_0.19,YES,HOLD
149,KXBTC15M-SIM-149,2026-04-29T09:15:00+00:00,87583.0,47.6,HOLD,0.4,neutral_47.6,YES,HOLD
150,KXBTC15M-SIM-150,2026-04-29T09:30:00+00:00,87722.0,39.3,HOLD,0.192,low_conf_0.19,NO,HOLD
151,KXBTC15M-SIM-151,2026-04-29T09:45:00+00:00,87455.0,56.8,HOLD,0.4,neutral_56.8,NO,HOLD
152,KXBTC15M-SIM-152,2026-04-29T10:00:00+00:00,87254.0,73.2,HOLD,0.18,high_vol_18.0,NO,HOLD
153,KXBTC15M-SIM-153,2026-04-29T10:15:00+00:00,86867.0,25.2,HOLD,0.212,high_vol_21.2,YES,HOLD
154,KXBTC15M-SIM-154,2026-04-29T10:30:00+00:00,87050.0,81.5,HOLD,0.583,low_conf_0.58,YES,HOLD
155,KXBTC15M-SIM-155,2026-04-29T10:45:00+00:00,87091.0,28.9,HOLD,0.371,low_conf_0.37,NO,HOLD
156,KXBTC15M-SIM-156,2026-04-29T11:00:00+00:00,86850.0,41.5,HOLD,0.45,bearish_no_momentum_41.5,YES,HOLD
157,KXBTC15M-SIM-157,2026-04-29T11:15:00+00:00,87056.0,19.3,HOLD,0.211,high_vol_21.1,YES,HOLD
158,KXBTC15M-SIM-158,2026-04-29T11:30:00+00:00,87250.0,31.6,HOLD,0.198,high_vol_19.8,YES,HOLD
159,KXBTC15M-SIM-159,2026-04-29T11:45:00+00:00,87348.0,39.6,HOLD,0.188,low_conf_0.19,NO,HOLD
160,KXBTC15M-SIM-160,2026-04-29T12:00:00+00:00,87080.0,55.6,HOLD,0.4,neutral_55.6,YES,HOLD
161,KXBTC15M-SIM-161,2026-04-29T12:15:00+00:00,87228.0,18.1,HOLD,0.563,low_conf_0.56,NO,HOLD
162,KXBTC15M-SIM-162,2026-04-29T12:30:00+00:00,87097.0,38.5,HOLD,0.45,bearish_no_momentum_38.5,YES,HOLD
163,KXBTC15M-SIM-163,2026-04-29T12:45:00+00:00,87406.0,86.3,BET_YES,0.676,bullish_86.3_m+0.71,YES,WIN
164,KXBTC15M-SIM-164,2026-04-29T13:00:00+00:00,87546.0,45.5,HOLD,0.4,neutral_45.5,YES,HOLD
165,KXBTC15M-SIM-165,2026-04-29T13:15:00+00:00,87563.0,97.0,HOLD,0.45,bullish_no_momentum_97.0,YES,HOLD
166,KXBTC15M-SIM-166,2026-04-29T13:30:00+00:00,87634.0,40.3,HOLD,0.45,bearish_no_momentum_40.3,YES,HOLD
167,KXBTC15M-SIM-167,2026-04-29T13:45:00+00:00,87725.0,29.1,HOLD,0.36,low_conf_0.36,NO,HOLD
168,KXBTC15M-SIM-168,2026-04-29T14:00:00+00:00,87251.0,70.0,HOLD,0.45,bullish_no_momentum_70.0,NO,HOLD
169,KXBTC15M-SIM-169,2026-04-29T14:15:00+00:00,87117.0,56.4,HOLD,0.4,neutral_56.4,YES,HOLD
170,KXBTC15M-SIM-170,2026-04-29T14:30:00+00:00,87231.0,36.7,HOLD,0.226,low_conf_0.23,NO,HOLD
171,KXBTC15M-SIM-171,2026-04-29T14:45:00+00:00,87128.0,49.5,HOLD,0.4,neutral_49.5,NO,HOLD
172,KXBTC15M-SIM-172,2026-04-29T15:00:00+00:00,86549.0,32.1,HOLD,0.189,high_vol_18.9,YES,HOLD
173,KXBTC15M-SIM-173,2026-04-29T15:15:00+00:00,86632.0,37.0,HOLD,0.224,low_conf_0.22,NO,HOLD
174,KXBTC15M-SIM-174,2026-04-29T15:30:00+00:00,86301.0,53.7,HOLD,0.4,neutral_53.7,YES,HOLD
175,KXBTC15M-SIM-175,2026-04-29T15:45:00+00:00,86765.0,35.1,HOLD,0.265,low_conf_0.27,NO,HOLD
176,KXBTC15M-SIM-176,2026-04-29T16:00:00+00:00,86563.0,84.0,BET_YES,0.616,bullish_84.0_m+1.11,YES,WIN
177,KXBTC15M-SIM-177,2026-04-29T16:15:00+00:00,86763.0,55.0,HOLD,0.4,neutral_55.0,YES,HOLD
178,KXBTC15M-SIM-178,2026-04-29T16:30:00+00:00,87187.0,36.3,HOLD,0.239,low_conf_0.24,NO,HOLD
179,KXBTC15M-SIM-179,2026-04-29T16:45:00+00:00,86994.0,57.5,HOLD,0.4,neutral_57.5,YES,HOLD
180,KXBTC15M-SIM-180,2026-04-29T17:00:00+00:00,87215.0,62.7,HOLD,0.225,low_conf_0.23,YES,HOLD
181,KXBTC15M-SIM-181,2026-04-29T17:15:00+00:00,87669.0,38.6,HOLD,0.45,bearish_no_momentum_38.6,YES,HOLD
182,KXBTC15M-SIM-182,2026-04-29T17:30:00+00:00,87807.0,30.3,HOLD,0.338,low_conf_0.34,NO,HOLD
183,KXBTC15M-SIM-183,2026-04-29T17:45:00+00:00,87226.0,75.8,HOLD,0.45,bullish_no_momentum_75.8,NO,HOLD
184,KXBTC15M-SIM-184,2026-04-29T18:00:00+00:00,87162.0,50.0,HOLD,0.4,neutral_50.0,NO,HOLD
185,KXBTC15M-SIM-185,2026-04-29T18:15:00+00:00,87038.0,46.8,HOLD,0.4,neutral_46.8,YES,HOLD
186,KXBTC15M-SIM-186,2026-04-29T18:30:00+00:00,87300.0,59.6,HOLD,0.167,low_conf_0.17,YES,HOLD
187,KXBTC15M-SIM-187,2026-04-29T18:45:00+00:00,87463.0,37.0,HOLD,0.45,bearish_no_momentum_37.0,YES,HOLD
188,KXBTC15M-SIM-188,2026-04-29T19:00:00+00:00,87686.0,38.7,HOLD,0.202,low_conf_0.20,NO,HOLD
189,KXBTC15M-SIM-189,2026-04-29T19:15:00+00:00,87516.0,26.1,HOLD,0.202,high_vol_20.2,YES,HOLD
190,KXBTC15M-SIM-190,2026-04-29T19:30:00+00:00,88163.0,63.6,HOLD,0.45,bullish_no_momentum_63.6,NO,HOLD
191,KXBTC15M-SIM-191,2026-04-29T19:45:00+00:00,88046.0,44.0,HOLD,0.4,neutral_44.0,NO,HOLD
192,KXBTC15M-SIM-192,2026-04-29T20:00:00+00:00,87656.0,49.2,HOLD,0.4,neutral_49.2,YES,HOLD
